symbol,date,open,high,low,close,volume,candle_direction,body_size,candle_range,rolling_avg_close,body_strength,distance_from_avg,rolling_avg_body_size,rolling_avg_volume,trend_direction,signal,daily_range_pct,rolling_avg_range_pct,entry_price,entry_date,rr,risk_distance,stop_loss,take_profit
AAPL,2022-01-03,177.83,182.88,177.71,182.01,104701220,bullish_candle,4.18,5.17,179.29,0.81,1.52,1.38,74005961.0,bullish_trend,strong_bullish_move,2.84,2.34,182.63,2022-01-04,1:2,4.27,178.36,191.17
AAPL,2022-01-28,165.71,170.35,162.8,170.33,179935700,bullish_candle,4.62,7.55,162.13,0.61,5.06,2.81,137734146.0,bullish_trend,strong_bullish_move,4.43,2.98,170.16,2022-01-31,1:2,5.07,165.09,180.3
AAPL,2022-07-27,152.58,157.33,152.16,156.79,78620700,bullish_candle,4.21,5.17,154.16,0.81,1.71,1.62,63829078.0,bullish_trend,strong_bullish_move,3.3,2.41,156.98,2022-07-28,1:2,3.78,153.2,164.54
AAPL,2022-08-03,160.84,166.59,160.75,166.13,82507500,bullish_candle,5.29,5.84,161.5,0.91,2.87,1.5,78681911.0,bullish_trend,strong_bullish_move,3.52,2.32,166.01,2022-08-04,1:2,3.85,162.16,173.71
AAPL,2022-09-12,159.59,164.26,159.3,163.43,104956000,bullish_candle,3.84,4.96,157.15,0.77,4.0,1.8,83825059.0,bullish_trend,strong_bullish_move,3.03,2.32,159.9,2022-09-13,1:2,3.71,156.19,167.32
AAPL,2022-10-13,134.99,143.59,134.37,142.99,113224000,bullish_candle,8.0,9.22,140.16,0.87,2.02,2.43,84303209.0,bullish_trend,strong_bullish_move,6.45,3.05,144.31,2022-10-14,1:2,4.4,139.91,153.11
AAPL,2022-10-21,142.87,147.85,142.65,147.27,86548609,bullish_candle,4.4,5.2,144.14,0.85,2.17,2.0,79443300.0,bullish_trend,strong_bullish_move,3.53,2.86,147.19,2022-10-24,1:2,4.21,142.98,155.61
AAPL,2022-10-28,148.2,157.5,147.82,155.74,164762400,bullish_candle,7.54,9.68,150.34,0.78,3.59,3.39,102618598.0,bullish_trend,strong_bullish_move,6.22,3.31,153.16,2022-10-31,1:2,5.07,148.09,163.3
AAPL,2022-11-10,141.24,146.87,139.5,146.87,118854028,bullish_candle,5.63,7.37,139.71,0.76,5.12,3.14,101573951.0,bullish_trend,strong_bullish_move,5.02,3.57,145.82,2022-11-11,1:2,5.21,140.61,156.24
AAPL,2023-02-03,148.03,157.38,147.83,154.5,154357337,bullish_candle,6.47,9.55,147.61,0.68,4.67,2.68,96049954.0,bullish_trend,strong_bullish_move,6.18,2.68,152.57,2023-02-06,1:2,4.09,148.48,160.75
AAPL,2023-03-03,148.04,151.11,147.33,151.03,70732300,bullish_candle,2.99,3.78,147.52,0.79,2.38,1.32,54807312.0,bullish_trend,strong_bullish_move,2.5,1.76,153.79,2023-03-06,1:2,2.71,151.08,159.21
AAPL,2023-03-16,152.16,156.46,151.64,155.85,76254419,bullish_candle,3.69,4.82,152.08,0.77,2.48,2.23,76029548.0,bullish_trend,strong_bullish_move,3.09,2.12,156.08,2023-03-17,1:2,3.31,152.77,162.7
AAPL,2023-03-31,162.44,165.0,161.91,164.9,68749800,bullish_candle,2.46,3.09,160.79,0.8,2.56,1.33,53587940.0,bullish_trend,strong_bullish_move,1.87,1.93,164.27,2023-04-03,1:2,3.17,161.1,170.61
AAPL,2023-04-13,161.63,165.8,161.42,165.56,68445649,bullish_candle,3.93,4.38,162.63,0.9,1.8,1.89,51865998.0,bullish_trend,strong_bullish_move,2.65,1.51,164.59,2023-04-14,1:2,2.49,162.1,169.57
AAPL,2023-04-27,165.19,168.56,165.19,168.41,64902329,bullish_candle,3.22,3.37,165.26,0.96,1.91,1.14,51880434.0,bullish_trend,strong_bullish_move,2.0,1.43,168.49,2023-04-28,1:2,2.41,166.08,173.31
